File created on 2022-02-16 17:44:48 UT
2022 Starlink Space Weather Event - IMF mesurements by DSCOVR Satellite.

year mo dy hr min sec msec bx by bz vx vy vz dens temp
#START
 2022 02 01 03 51 00 000   -2.88   4.14   1.87  -433.40	  50.00	 -13.40	   6.28	    238633.0
 2022 02 01 03 52 00 000   -2.87   3.56   2.51  -428.80	  61.90	 -27.10	   4.93	    170936.0
 2022 02 01 03 53 00 000   -2.77   3.63   3.13  -431.80	  57.00	 -28.80	   4.84	    161144.0
 2022 02 01 03 54 00 000   -2.55   3.30   3.80  -432.30	  64.10	 -35.40	   5.05	    157336.0
 2022 02 01 03 55 00 000   -2.29   3.34   3.87  -434.10	  65.10	 -26.60	   5.21	    166409.0
 2022 02 01 03 56 00 000   -2.28   3.61   3.54  -439.30	  56.10	 -29.10	   6.78	    249648.0
 2022 02 01 03 57 00 000   -1.95   3.25   3.97  -437.30	  62.40	 -26.10	   5.86	    201279.0
 2022 02 01 03 58 00 000   -1.81   3.74   3.41  -437.40	  50.00	  -3.70	   6.85	    253020.0
 2022 02 01 03 59 00 000   -2.28   3.44   3.35  -437.10	  40.30	   0.10	   7.40	    282877.0
 2022 02 01 04 00 00 000   -2.96   1.58   3.53  -434.60	  46.10	 -12.80	   7.37	    298663.0
 2022 02 01 04 01 00 000   -3.16   0.75   3.67  -434.60	  52.50	 -16.30	   7.77	    301754.0
 2022 02 01 04 02 00 000   -3.40   2.57   2.78  -429.50	  57.00	 -16.10	   7.32	    277610.0
 2022 02 01 04 03 00 000   -3.65   1.85   3.15  -426.80	  59.30	 -19.30	   4.97	    160468.0
 2022 02 01 04 04 00 000   -2.83   1.29   3.88  -432.80	  73.00	 -34.20	   5.01	    174636.0
 2022 02 01 04 05 00 000   -2.68   2.53   3.39  -436.50	  58.90	 -27.80	   6.08	    235050.0
 2022 02 01 04 06 00 000   -3.13   2.66   2.61  -435.50	  64.40	 -16.40	   6.78	    298592.0
